"idCar","StartTimeStamp","StartLat","StartLon","FinishTimestamp","FinishLat","FinishLon"
"101","1422781425000","36.05096477","24.82586806","1422789813000","36.05903501","24.89267146"
"24","1422791521000","36.05894678","24.89277554","1422801261000","36.05410934","24.90814485"
"106","1422802728000","36.05420482","24.908102","1422806522000","36.04805722","24.87956874"
"20","1422807436000","36.04802288","24.87956851","1422807570000","36.04803563","24.87956552"
"105","1422808450000","36.04803013","24.87956538","1422820032000","36.08550991","24.86037451"
"2","1422820921000","36.08543115","24.86042993","1422827081000","36.08445046","24.86422398"
"7","1425191041000","36.08445966","24.86423451","1425202631000","36.05848922","24.8854701"
"105","1425204484000","36.05844129","24.88552673","1425214202000","36.06323985","24.85097343"
"29","1425215341000","36.06348766","24.85097609","1425220372000","36.0480419","24.87956867"
"105","1425223001000","36.04802389","24.87957057","1425245159000","36.05942017","24.89501576"
"29","1425246601000","36.05945083","24.89478206","1425249422000","36.04803026","24.87957655"
"1","1427843341000","36.04802716","24.87956907","1427843582000","36.06645318","24.88258761"
"1","1427866201000","36.06650603","24.88265687","1427866344000","36.07332987","24.86421878"
"4","1427867821000","36.07333896","24.86419594","1427877374000","36.05410535","24.90808894"
"101","1427878451000","36.05412925","24.90807045","1427878502000","36.05845264","24.88541875"
"105","1427880140000","36.05845956","24.8854696","1427884531000","36.05449445","24.8999302"
"105","1427885393000","36.05447503","24.89992997","1427919825000","36.07257301","24.8749658"
"28","1430457181000","36.07352802","24.87510166","1430457332000","36.06755471","24.87332202"
"35","1430459581000","36.06751231","24.87330651","1430465470000","36.04807951","24.87957087"
"9","1430467136000","36.04802661","24.8795742","1430467353000","36.0584553","24.8854959"
"107","1430472293000","36.05844325","24.88553455","1430511520000","36.06050558","24.90531529"
"21","1430512621000","36.06043476","24.90559558","1430516702000","36.06644798","24.88261754"
"1","1433149321000","36.06648797","24.88263248","1433154386000","36.08063286","24.84676787"
"13","1433157241000","36.08067087","24.84687083","1433181122000","36.06035126","24.85650254"
"30","1433181841000","36.0603738","24.85654194","1433187371000","36.08429059","24.8564021"
"9","1433199421000","36.08432477","24.85645418","1433199597000","36.06672766","24.88375389"
"28","1435705200000","36.06657987","24.88416039","1435754129000","36.0549329","24.90177447"
"23","1435755361000","36.05495641","24.90176782","1435763198000","36.0768222","24.8658673"
